ZONA,MUNI_DOM,CO_DOM_X,CO_DOM_Y,ID_DOM,F_DOM,FE_DOM,DOM,CD_ENTRE,DATA,TIPO_DOM,AGUA,RUA_PAVI,NO_MORAD,TOT_FAM,ID_FAM,F_FAM,FE_FAM,FAMILIA,NO_MORAF,CONDMORA,QT_BANHO,QT_EMPRE,QT_AUTO,QT_MICRO,QT_LAVALOU,QT_GEL1,QT_GEL2,QT_FREEZ,QT_MLAVA,QT_DVD,QT_MICROON,QT_MOTO,QT_SECAROU,QT_BICICLE,NAO_DCL_IT,CRITERIOBR,PONTO_BR,ANO_AUTO1,ANO_AUTO2,ANO_AUTO3,RENDA_FA,CD_RENFA,ID_PESS,F_PESS,FE_PESS,PESSOA,SIT_FAM,IDADE,SEXO,ESTUDA,GRAU_INS,CD_ATIVI,CO_REN_I,VL_REN_I,ZONA_ESC,MUNIESC,CO_ESC_X,CO_ESC_Y,TIPO_ESC,ZONATRA1,MUNITRA1,CO_TR1_X,CO_TR1_Y,TRAB1_RE,TRABEXT1,OCUP1,SETOR1,VINC1,ZONATRA2,MUNITRA2,CO_TR2_X,CO_TR2_Y,TRAB2_RE,TRABEXT2,OCUP2,SETOR2,VINC2,N_VIAG,FE_VIA,DIA_SEM,TOT_VIAG,ZONA_O,MUNI_O,CO_O_X,CO_O_Y,ZONA_D,MUNI_D,CO_D_X,CO_D_Y,ZONA_T1,MUNI_T1,CO_T1_X,CO_T1_Y,ZONA_T2,MUNI_T2,CO_T2_X,CO_T2_Y,ZONA_T3,MUNI_T3,CO_T3_X,CO_T3_Y,MOTIVO_O,MOTIVO_D,SERVIR_O,SERVIR_D,MODO1,MODO2,MODO3,MODO4,H_SAIDA,MIN_SAIDA,ANDA_O,H_CHEG,MIN_CHEG,ANDA_D,DURACAO,MODOPRIN,TIPVG,PAG_VIAG,TP_ESAUTO,VL_EST,PE_BICI,VIA_BICI,TP_ESTBICI,ID_ORDEM
2,36,333638,7394792,00020877,1,68.75,877,1,02082018,1,1,1,5,1,000208771,1,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,1,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.993065,4.0,8,2.0,36.0,-46.62977694129889,-23.54838725842879,20.0,36.0,-46.631206610573884,-23.562639890084515,,,,,,,,,,,,,8.0,4.0,2.0,1.0,15.0,,,,8.0,0.0,1.0,8.0,10.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,8.0,450
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,45.993065,4.0,8,20.0,36.0,-46.631206610573884,-23.562639890084515,2.0,36.0,-46.62977694129889,-23.54838725842879,,,,,,,,,,,,,4.0,8.0,1.0,2.0,15.0,,,,8.0,10.0,1.0,8.0,20.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,3.0,451
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,45.993065,4.0,8,2.0,36.0,-46.62977694129889,-23.54838725842879,20.0,36.0,-46.631206610573884,-23.562639890084515,,,,,,,,,,,,,8.0,4.0,2.0,1.0,15.0,,,,10.0,50.0,1.0,11.0,0.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,8.0,452
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,45.993065,4.0,8,20.0,36.0,-46.631206610573884,-23.562639890084515,2.0,36.0,-46.62977694129889,-23.54838725842879,,,,,,,,,,,,,4.0,8.0,1.0,2.0,15.0,,,,11.0,0.0,1.0,11.0,10.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,3.0,453
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,45.993065,4.0,8,2.0,36.0,-46.62977694129889,-23.54838725842879,3.0,36.0,-46.62866224745024,-23.554105992982425,,,,,,,,,,,,,8.0,4.0,2.0,1.0,15.0,,,,13.0,20.0,1.0,13.0,30.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,8.0,454
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,45.993065,4.0,8,3.0,36.0,-46.62866224745024,-23.554105992982425,2.0,36.0,-46.62977694129889,-23.54838725842879,,,,,,,,,,,,,4.0,8.0,1.0,2.0,15.0,,,,13.0,30.0,1.0,13.0,40.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,3.0,455
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,45.993065,4.0,8,2.0,36.0,-46.62977694129889,-23.54838725842879,3.0,36.0,-46.62866224745024,-23.554105992982425,,,,,,,,,,,,,8.0,4.0,2.0,1.0,15.0,,,,18.0,0.0,1.0,18.0,10.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,8.0,456
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877101,0,27.983193,1,1,71,1,1,2,4,1,954.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,45.993065,4.0,8,3.0,36.0,-46.62866224745024,-23.554105992982425,2.0,36.0,-46.62977694129889,-23.54838725842879,,,,,,,,,,,,,4.0,8.0,1.0,2.0,15.0,,,,18.0,10.0,1.0,18.0,20.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,3.0,457
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877102,1,72.751433,2,4,8,2,3,1,8,2,0.0,3.0,36.0,333759.0,7394160.0,1.0,,,,,,,,,,,,,,,,,,,1.0,119.573967,4.0,4,2.0,36.0,-46.62977694129889,-23.54838725842879,20.0,36.0,-46.631206610573884,-23.562639890084515,,,,,,,,,,,,,8.0,4.0,2.0,2.0,15.0,,,,8.0,0.0,1.0,8.0,10.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,8.0,458
2,36,333638,7394792,00020877,0,68.75,877,1,02082018,1,1,1,5,1,000208771,0,68.75,1,5,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1,5.0,20.0,,,,1908.0,1,00020877102,0,72.751433,2,4,8,2,3,1,8,2,0.0,3.0,36.0,333759.0,7394160.0,1.0,,,,,,,,,,,,,,,,,,,2.0,119.573967,4.0,4,20.0,36.0,-46.631206610573884,-23.562639890084515,2.0,36.0,-46.62977694129889,-23.54838725842879,,,,,,,,,,,,,4.0,8.0,2.0,2.0,15.0,,,,11.0,0.0,1.0,11.0,10.0,1.0,10.0,15.0,4.0,,,,1.0,2.0,3.0,459
